,advisories,appId,app_id,app_view_url,apple_watch_enabled,apple_watch_icon,bundle_id,buys_ads,canonical_country,categories,content_rating,delta,downloads_revenue_date,eula_url,feature_graphic,global_rating_count,humanized_name,humanized_worldwide_last_month_downloads,humanized_worldwide_last_month_revenue,icon,iconUrl,icon_url,id,imessage_enabled,imessage_icon,in_app_purchases,name,os,price,privacy_policy_url,publisher_address,publisher_country,publisher_email,publisher_id,publisher_name,publisher_profile_url,rank,rating,rating_count,rating_count_for_current_version,rating_for_current_version,release_date,short_description,shows_ads,support_url,updated_date,url,valid_countries,version,website_url
0,"['Infrequent/Mild Mature/Suggestive Themes', 'Infrequent/Mild Cartoon or Fantasy Violence', 'Infrequent/Mild Simulated Gambling', 'Infrequent/Mild Alcohol, Tobacco, or Drug Use or References', 'Infrequent/Mild Sexual Content and Nudity', 'Infrequent/Mild Medical/Treatment Information', 'Infrequent/Mild Horror/Fear Themes', 'Infrequent/Mild Realistic Violence']",1495369374.0,1495369374.0,/ios/us/voodoo/app/draw-climber/1495369374/,,,com.appadvisory.drawclimber,,US,"[6014, 7001, 6016, 7003]",12+,0.0,2020-02-17T00:00:00Z,,,110916.0,Draw Climber,"{'downloads': 1000, 'downloads_rounded': 5, 'prefix': '< ', 'string': '< 5k', 'units': 'k'}","{'prefix': '< $', 'revenue': 1000, 'revenue_rounded': 5, 'string': '< $5k', 'units': 'k'}",https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/3c/eb/bb/3cebbbdb-6b17-bbbb-f429-2818bfc6ecaa/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/150x150bb.png,https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/3c/eb/bb/3cebbbdb-6b17-bbbb-f429-2818bfc6ecaa/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/150x150bb.png,https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/3c/eb/bb/3cebbbdb-6b17-bbbb-f429-2818bfc6ecaa/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/150x150bb.png,1495369374.0,,,1.0,Draw Climber,ios,0.0,https://www.voodoo.io/privacy,,France,,714804730.0,Voodoo,/ios/publisher/voodoo/714804730,1.0,4.5,46360.0,5548.0,4.5,2020-01-25T00:29:26Z,,,https://www.voodoo.io,2020-02-19T00:00:00Z,https://apps.apple.com/US/app/id1495369374?l=en,"['US', 'AU', 'CA', 'CN', 'FR', 'DE', 'GB', 'IT', 'JP', 'KR', 'RU', 'DZ', 'AO', 'AR', 'AT', 'AZ', 'BB', 'BY', 'BE', 'BM', 'BR', 'BG', 'CL', 'CO', 'CR', 'HR', 'CZ', 'DK', 'DO', 'EC', 'EG', 'SV', 'FI', 'GH', 'GR', 'GT', 'HK', 'HU', 'IN', 'ID', 'IE', 'IL', 'KZ', 'KE', 'KW', 'LB', 'LT', 'LU', 'MO', 'MG', 'MY', 'MX', 'NL', 'NZ', 'NG', 'NO', 'OM', 'PK', 'PA', 'PE', 'PH', 'PL', 'PT', 'QA', 'RO', 'SA', 'SG', 'SK', 'SI', 'ZA', 'ES', 'LK', 'SE', 'CH', 'TW', 'TH', 'TN', 'TR', 'UA', 'AE', 'UY', 'UZ', 'VE', 'VN']",1.1.2,https://www.voodoo.io/
1,['Infrequent/Mild Cartoon or Fantasy Violence'],479516143.0,479516143.0,/ios/us/mojang/app/minecraft/479516143/,,,com.mojang.minecraftpe,True,US,"[6014, 7015, 7002]",9+,0.0,2020-02-17T00:00:00Z,,,1810650.0,Minecraft,"{'downloads': 200000, 'downloads_rounded': 200, 'prefix': None, 'string': '200k', 'units': 'k'}","{'prefix': '$', 'revenue': 6000000, 'revenue_rounded': 6, 'string': '$6m', 'units': 'm'}",https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/56/00/ed/5600ed67-7cb0-d773-231c-9923d013eee5/AppIcon-0-1x_U007emarketing-0-85-220-9.png/150x150bb.png,https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/56/00/ed/5600ed67-7cb0-d773-231c-9923d013eee5/AppIcon-0-1x_U007emarketing-0-85-220-9.png/150x150bb.png,https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/56/00/ed/5600ed67-7cb0-d773-231c-9923d013eee5/AppIcon-0-1x_U007emarketing-0-85-220-9.png/150x150bb.png,479516143.0,,,1.0,Minecraft,ios,6.99,https://account.mojang.com/terms#privacy,,US,,479516146.0,Mojang,/ios/publisher/mojang/479516146,1.0,4.5,787321.0,3575.0,4.5,2011-11-17T08:00:00Z,,True,http://help.mojang.com,2020-02-11T00:00:00Z,https://apps.apple.com/US/app/id479516143?l=en,"['US', 'AU', 'CA', 'FR', 'DE', 'GB', 'IT', 'JP', 'KR', 'RU', 'DZ', 'AO', 'AR', 'AT', 'AZ', 'BB', 'BY', 'BE', 'BM', 'BR', 'BG', 'CL', 'CO', 'CR', 'HR', 'CZ', 'DK', 'DO', 'EC', 'EG', 'SV', 'FI', 'GH', 'GR', 'GT', 'HK', 'HU', 'IN', 'ID', 'IE', 'IL', 'KZ', 'KE', 'KW', 'LB', 'LT', 'LU', 'MO', 'MG', 'MY', 'MX', 'NL', 'NZ', 'NG', 'NO', 'OM', 'PK', 'PA', 'PE', 'PH', 'PL', 'PT', 'QA', 'RO', 'SA', 'SG', 'SK', 'SI', 'ZA', 'ES', 'LK', 'SE', 'CH', 'TW', 'TH', 'TN', 'TR', 'UA', 'AE', 'UY', 'UZ', 'VE', 'VN']",1.14.30,
2,[],1446075923.0,1446075923.0,/ios/us/disney/app/disney/1446075923/,,,com.disney.disneyplus,,US,[6016],4+,0.0,2020-02-17T00:00:00Z,,https://is2-ssl.mzstatic.com/image/thumb/Features113/v4/ea/d0/9e/ead09e7d-1350-7c98-4fb8-2504fa06dc3a/source/4320x1080.png,105918.0,Disney+,"{'downloads': 5000000, 'downloads_rounded': 5, 'prefix': None, 'string': '5m', 'units': 'm'}","{'prefix': '$', 'revenue': 18000000, 'revenue_rounded': 18, 'string': '$18m', 'units': 'm'}",https://is3-ssl.mzstatic.com/image/thumb/Purple124/v4/a9/d1/57/a9d15796-fe9f-72a0-55de-404709d924e0/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,https://is3-ssl.mzstatic.com/image/thumb/Purple124/v4/a9/d1/57/a9d15796-fe9f-72a0-55de-404709d924e0/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,https://is3-ssl.mzstatic.com/image/thumb/Purple124/v4/a9/d1/57/a9d15796-fe9f-72a0-55de-404709d924e0/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,1446075923.0,,,1.0,Disney+,ios,0.0,https://privacy.thewaltdisneycompany.com/nl/privacybeleid/,,US,,284888248.0,Disney,/ios/publisher/disney/284888248,1.0,4.5,90260.0,212.0,4.0,2019-11-12T06:46:25Z,,,https://help.disneyplus.com,2020-02-18T00:00:00Z,https://apps.apple.com/US/app/id1446075923?l=en,"['US', 'AU', 'CA', 'NL', 'NZ']",1.3.0,https://disneyplus.com
3,"['Infrequent/Mild Alcohol, Tobacco, or Drug Use or References', 'Infrequent/Mild Profanity or Crude Humor', 'Infrequent/Mild Mature/Suggestive Themes', 'Infrequent/Mild Cartoon or Fantasy Violence', 'Infrequent/Mild Sexual Content and Nudity']",835599320.0,835599320.0,/ios/us/tiktok-inc/app/tiktok-make-your-day/835599320/,,,com.zhiliaoapp.musically,True,US,"[6016, 6008]",12+,0.0,2020-02-17T00:00:00Z,,https://is3-ssl.mzstatic.com/image/thumb/Features113/v4/3c/f7/e5/3cf7e58e-a956-8e8d-a8d9-263018df8ab7/source/4320x1080.png,8999599.0,TikTok - Make Your Day,"{'downloads': 14000000, 'downloads_rounded': 14, 'prefix': None, 'string': '14m', 'units': 'm'}","{'prefix': '$', 'revenue': 2000000, 'revenue_rounded': 2, 'string': '$2m', 'units': 'm'}",https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/47/86/fd/4786fd0e-a66e-9aec-2d6d-6606e072cb4c/AppIcon_TikTok-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/47/86/fd/4786fd0e-a66e-9aec-2d6d-6606e072cb4c/AppIcon_TikTok-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/47/86/fd/4786fd0e-a66e-9aec-2d6d-6606e072cb4c/AppIcon_TikTok-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,835599320.0,,,1.0,TikTok - Make Your Day,ios,0.0,https://www.tiktok.com/i18n/privacy/,,China,,1039610913.0,TikTok Inc.,/ios/publisher/tiktok-inc/1039610913,2.0,4.5,3417617.0,16099.0,5.0,2014-04-02T22:44:45Z,,True,http://www.tiktok.com,2020-02-18T00:00:00Z,https://apps.apple.com/US/app/id835599320?l=en,"['US', 'AU', 'CA', 'FR', 'DE', 'GB', 'IT', 'RU', 'DZ', 'AO', 'AR', 'AT', 'AZ', 'BB', 'BY', 'BE', 'BM', 'BR', 'BG', 'CL', 'CO', 'CR', 'HR', 'CZ', 'DK', 'DO', 'EC', 'EG', 'SV', 'FI', 'GH', 'GR', 'GT', 'HU', 'IN', 'IE', 'IL', 'KZ', 'KE', 'KW', 'LB', 'LT', 'LU', 'MG', 'MX', 'NL', 'NZ', 'NG', 'NO', 'OM', 'PK', 'PA', 'PE', 'PL', 'PT', 'QA', 'RO', 'SA', 'SK', 'SI', 'ZA', 'ES', 'LK', 'SE', 'CH', 'TN', 'TR', 'UA', 'AE', 'UY', 'UZ', 'VE']",14.9.0,http://www.tiktok.com
4,"['Infrequent/Mild Horror/Fear Themes', 'Infrequent/Mild Realistic Violence']",525818839.0,525818839.0,/ios/us/ndemic-creations/app/plague-inc/525818839/,,,com.ndemiccreations.plagueinc,,US,"[6014, 7017, 7015]",12+,0.0,2020-02-17T00:00:00Z,,https://is2-ssl.mzstatic.com/image/thumb/Features127/v4/ee/c6/e6/eec6e685-b239-ff7e-4829-0a59719ca06c/source/4320x1080.png,818055.0,Plague,"{'downloads': 200000, 'downloads_rounded': 200, 'prefix': None, 'string': '200k', 'units': 'k'}","{'prefix': '$', 'revenue': 1000000, 'revenue_rounded': 1, 'string': '$1m', 'units': 'm'}",https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/78/f6/fc/78f6fcee-c39a-ef17-bd58-1792cd779b83/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/78/f6/fc/78f6fcee-c39a-ef17-bd58-1792cd779b83/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/78/f6/fc/78f6fcee-c39a-ef17-bd58-1792cd779b83/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,525818839.0,,,1.0,Plague Inc.,ios,0.99,http://www.ndemiccreations.com/en/24-legal,,Great Britain,,525818842.0,Ndemic Creations,/ios/publisher/ndemic-creations/525818842,2.0,4.5,225586.0,12965.0,5.0,2012-05-26T00:54:37Z,,True,http://www.ndemiccreations.com,2019-12-17T00:00:00Z,https://apps.apple.com/US/app/id525818839?l=en,"['US', 'AU', 'CA', 'CN', 'FR', 'DE', 'GB', 'IT', 'JP', 'KR', 'RU', 'DZ', 'AO', 'AR', 'AT', 'AZ', 'BB', 'BY', 'BE', 'BM', 'BR', 'BG', 'CL', 'CO', 'CR', 'HR', 'CZ', 'DK', 'DO', 'EC', 'EG', 'SV', 'FI', 'GH', 'GR', 'GT', 'HK', 'HU', 'IN', 'ID', 'IE', 'IL', 'KZ', 'KE', 'KW', 'LB', 'LT', 'LU', 'MO', 'MG', 'MY', 'MX', 'NL', 'NZ', 'NG', 'NO', 'OM', 'PK', 'PA', 'PE', 'PH', 'PL', 'PT', 'QA', 'RO', 'SA', 'SG', 'SK', 'SI', 'ZA', 'ES', 'LK', 'SE', 'CH', 'TW', 'TH', 'TN', 'TR', 'UA', 'AE', 'UY', 'UZ', 'VE', 'VN']",1.17.3,
5,"['Infrequent/Mild Horror/Fear Themes', 'Infrequent/Mild Sexual Content and Nudity', 'Infrequent/Mild Realistic Violence', 'Infrequent/Mild Alcohol, Tobacco, or Drug Use or References', 'Infrequent/Mild Profanity or Crude Humor', 'Infrequent/Mild Cartoon or Fantasy Violence', 'Infrequent/Mild Simulated Gambling', 'Infrequent/Mild Medical/Treatment Information', 'Frequent/Intense Mature/Suggestive Themes']",544007664.0,544007664.0,/ios/us/google-llc/app/youtube-watch-listen-stream/544007664/,,,com.google.ios.youtube,True,US,"[6008, 6016]",17+,0.0,2020-02-17T00:00:00Z,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewEula?cc=vn&id=544007664,,44912650.0,YouTube: Watch,"{'downloads': 12000000, 'downloads_rounded': 12, 'prefix': None, 'string': '12m', 'units': 'm'}","{'prefix': '$', 'revenue': 46000000, 'revenue_rounded': 46, 'string': '$46m', 'units': 'm'}",https://is5-ssl.mzstatic.com/image/thumb/Purple123/v4/4b/53/63/4b53638a-3322-070b-ebb4-d8c710b1920e/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,https://is5-ssl.mzstatic.com/image/thumb/Purple123/v4/4b/53/63/4b53638a-3322-070b-ebb4-d8c710b1920e/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,https://is5-ssl.mzstatic.com/image/thumb/Purple123/v4/4b/53/63/4b53638a-3322-070b-ebb4-d8c710b1920e/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,544007664.0,True,https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/d4/26/70/d4267027-2d56-a0e1-9e92-42dcc95b9895/contsched.vlmovhkj.png/768x1024bb.png,1.0,"YouTube: Watch, Listen, Stream",ios,0.0,http://www.google.com/policies/privacy,,US,,281956209.0,Google LLC,/ios/publisher/google-llc/281956209,2.0,4.5,12297398.0,168177.0,4.5,2012-09-11T07:23:19Z,,True,http://support.google.com/youtube,2020-02-10T00:00:00Z,https://apps.apple.com/US/app/id544007664?l=en,"['US', 'AU', 'CA', 'CN', 'FR', 'DE', 'GB', 'IT', 'JP', 'KR', 'RU', 'DZ', 'AO', 'AR', 'AT', 'AZ', 'BB', 'BY', 'BE', 'BM', 'BR', 'BG', 'CL', 'CO', 'CR', 'HR', 'CZ', 'DK', 'DO', 'EC', 'EG', 'SV', 'FI', 'GH', 'GR', 'GT', 'HK', 'HU', 'IN', 'ID', 'IE', 'IL', 'KZ', 'KE', 'KW', 'LB', 'LT', 'LU', 'MO', 'MG', 'MY', 'MX', 'NL', 'NZ', 'NG', 'NO', 'OM', 'PK', 'PA', 'PE', 'PH', 'PL', 'PT', 'QA', 'RO', 'SA', 'SG', 'SK', 'SI', 'ZA', 'ES', 'LK', 'SE', 'CH', 'TW', 'TH', 'TN', 'TR', 'UA', 'AE', 'UY', 'UZ', 'VE', 'VN']",15.06,https://www.youtube.com
6,"['Infrequent/Mild Horror/Fear Themes', 'Infrequent/Mild Sexual Content and Nudity', 'Frequent/Intense Simulated Gambling', 'Infrequent/Mild Realistic Violence', 'Infrequent/Mild Cartoon or Fantasy Violence', 'Infrequent/Mild Medical/Treatment Information', 'Infrequent/Mild Mature/Suggestive Themes', 'Infrequent/Mild Alcohol, Tobacco, or Drug Use or References']",1477636326.0,1477636326.0,/ios/us/8sec/app/trivia-io/1477636326/,,,com.eightsec.TriviaIO,,US,"[6014, 7003, 7018]",17+,1.0,2020-02-17T00:00:00Z,,,10314.0,Trivia.io,"{'downloads': 100000, 'downloads_rounded': 100, 'prefix': None, 'string': '100k', 'units': 'k'}","{'prefix': '< $', 'revenue': 1000, 'revenue_rounded': 5, 'string': '< $5k', 'units': 'k'}",https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/2e/5a/e1/2e5ae1d1-e793-b70f-1dbf-561771144901/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/150x150bb.png,https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/2e/5a/e1/2e5ae1d1-e793-b70f-1dbf-561771144901/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/150x150bb.png,https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/2e/5a/e1/2e5ae1d1-e793-b70f-1dbf-561771144901/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/150x150bb.png,1477636326.0,,,,Trivia.io,ios,0.0,http://8sec.games/privacy.html,,France,,1005047998.0,8SEC,/ios/publisher/8sec/1005047998,3.0,4.5,6736.0,4668.0,4.5,2019-09-05T23:48:07Z,,,http://8sec.games,2020-02-12T00:00:00Z,https://apps.apple.com/US/app/id1477636326?l=en,"['US', 'AU', 'CA', 'CN', 'FR', 'DE', 'GB', 'IT', 'JP', 'RU', 'DZ', 'AO', 'AR', 'AT', 'AZ', 'BB', 'BY', 'BE', 'BM', 'BR', 'BG', 'CL', 'CO', 'CR', 'HR', 'CZ', 'DK', 'DO', 'EC', 'EG', 'SV', 'FI', 'GH', 'GR', 'GT', 'HK', 'HU', 'IN', 'ID', 'IE', 'IL', 'KZ', 'KE', 'KW', 'LB', 'LT', 'LU', 'MO', 'MG', 'MY', 'MX', 'NL', 'NZ', 'NG', 'NO', 'OM', 'PK', 'PA', 'PE', 'PH', 'PL', 'PT', 'QA', 'RO', 'SA', 'SG', 'SK', 'SI', 'ZA', 'ES', 'LK', 'SE', 'CH', 'TW', 'TH', 'TN', 'TR', 'UA', 'AE', 'UY', 'UZ', 'VE', 'VN']",9.1.1,http://8sec.games
7,[],373311252.0,373311252.0,/ios/us/adva-soft-gmbh/app/touchretouch/373311252/,,,com.advasoft.touchretouch,,US,"[6008, 6002]",4+,0.0,2020-02-17T00:00:00Z,,,48350.0,TouchRetouch,"{'downloads': 100000, 'downloads_rounded': 100, 'prefix': None, 'string': '100k', 'units': 'k'}","{'prefix': '$', 'revenue': 900000, 'revenue_rounded': 900, 'string': '$900k', 'units': 'k'}",https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/a3/ff/ea/a3ffea40-6941-2b20-2d8c-9359c430c7c3/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/a3/ff/ea/a3ffea40-6941-2b20-2d8c-9359c430c7c3/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/a3/ff/ea/a3ffea40-6941-2b20-2d8c-9359c430c7c3/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/150x150bb.png,373311252.0,,,,TouchRetouch,ios,1.99,https://adva-soft.com/privacy-policy.html,,Germany,,598565208.0,ADVA Soft GmbH,/ios/publisher/adva-soft-gmbh/598565208,3.0,4.5,11738.0,51.0,4.5,2010-06-08T23:56:13Z,,True,https://adva-soft.com/support.html,2020-02-19T00:00:00Z,https://apps.apple.com/US/app/id373311252?l=en,"['US', 'AU', 'CA', 'CN', 'FR', 'DE', 'GB', 'IT', 'JP', 'KR', 'RU', 'DZ', 'AO', 'AR', 'AT', 'AZ', 'BB', 'BY', 'BE', 'BM', 'BR', 'BG', 'CL', 'CO', 'CR', 'HR', 'CZ', 'DK', 'DO', 'EC', 'EG', 'SV', 'FI', 'GH', 'GR', 'GT', 'HK', 'HU', 'IN', 'ID', 'IE', 'IL', 'KZ', 'KE', 'KW', 'LB', 'LT', 'LU', 'MO', 'MG', 'MY', 'MX', 'NL', 'NZ', 'NG', 'NO', 'OM', 'PK', 'PA', 'PE', 'PH', 'PL', 'PT', 'QA', 'RO', 'SA', 'SG', 'SK', 'SI', 'ZA', 'ES', 'LK', 'SE', 'CH', 'TW', 'TH', 'TN', 'TR', 'UA', 'AE', 'UY', 'UZ', 'VE', 'VN']",4.4.6,https://adva-soft.com/app-pageTouch.html
8,"['Infrequent/Mild Profanity or Crude Humor', 'Frequent/Intense Mature/Suggestive Themes', 'Infrequent/Mild Sexual Content and Nudity']",547702041.0,547702041.0,/ios/us/tinder-inc/app/tinder/547702041/,,,com.cardify.tinder,True,US,"[6012, 6005]",17+,0.0,2020-02-17T00:00:00Z,,https://is5-ssl.mzstatic.com/image/thumb/Features128/v4/81/73/99/8173991a-23cf-a35b-ccf3-999c070f0ae7/source/4320x1080.png,2951732.0,Tinder,"{'downloads': 3000000, 'downloads_rounded': 3, 'prefix': None, 'string': '3m', 'units': 'm'}","{'prefix': '$', 'revenue': 46000000, 'revenue_rounded': 46, 'string': '$46m', 'units': 'm'}",https://is2-ssl.mzstatic.com/image/thumb/Purple114/v4/5d/ec/8f/5dec8fbc-384f-bef2-6329-033bcb589de0/AppIcon-0-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-7.png/150x150bb.png,https://is2-ssl.mzstatic.com/image/thumb/Purple114/v4/5d/ec/8f/5dec8fbc-384f-bef2-6329-033bcb589de0/AppIcon-0-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-7.png/150x150bb.png,https://is2-ssl.mzstatic.com/image/thumb/Purple114/v4/5d/ec/8f/5dec8fbc-384f-bef2-6329-033bcb589de0/AppIcon-0-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-7.png/150x150bb.png,547702041.0,,,True,Tinder,ios,0.0,http://www.gotinder.com/terms/,,US,,725634363.0,Tinder Inc.,/ios/publisher/tinder-inc/725634363,3.0,4.0,933354.0,419.0,2.5,2012-08-03T01:43:39Z,,True,http://www.gotinder.com/contact/,2020-02-13T00:00:00Z,https://apps.apple.com/US/app/id547702041?l=en,"['US', 'AU', 'CA', 'CN', 'FR', 'DE', 'GB', 'IT', 'JP', 'KR', 'RU', 'DZ', 'AO', 'AR', 'AT', 'AZ', 'BB', 'BY', 'BE', 'BM', 'BR', 'BG', 'CL', 'CO', 'CR', 'HR', 'CZ', 'DK', 'DO', 'EC', 'EG', 'SV', 'FI', 'GH', 'GR', 'GT', 'HK', 'HU', 'IN', 'ID', 'IE', 'IL', 'KZ', 'KE', 'KW', 'LB', 'LT', 'LU', 'MO', 'MG', 'MY', 'MX', 'NL', 'NZ', 'NG', 'NO', 'OM', 'PK', 'PA', 'PE', 'PH', 'PL', 'PT', 'QA', 'RO', 'SA', 'SG', 'SK', 'SI', 'ZA', 'ES', 'LK', 'SE', 'CH', 'TW', 'TH', 'TN', 'TR', 'UA', 'AE', 'UY', 'UZ', 'VE', 'VN']",11.9.0,http://www.gotinder.com/
9,"['Infrequent/Mild Mature/Suggestive Themes', 'Infrequent/Mild Horror/Fear Themes', 'Infrequent/Mild Cartoon or Fantasy Violence', 'Infrequent/Mild Sexual Content and Nudity', 'Infrequent/Mild Medical/Treatment Information', 'Infrequent/Mild Profanity or Crude Humor', 'Infrequent/Mild Realistic Violence']",1487968838.0,1487968838.0,/ios/us/crazy-labs/app/dentist-bling/1487968838/,,,com.funnyigames.thedentist,,US,"[6014, 7015, 6016, 7014]",12+,-1.0,2020-02-17T00:00:00Z,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewEula?cc=vn&id=1487968838,,48388.0,Dentist Bling,"{'downloads': 40000, 'downloads_rounded': 40, 'prefix': None, 'string': '40k', 'units': 'k'}","{'prefix': '< $', 'revenue': 1000, 'revenue_rounded': 5, 'string': '< $5k', 'units': 'k'}",https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/ec/2f/a9/ec2fa942-88e2-078b-e595-9cb02f2a442e/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/150x150bb.png,https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/ec/2f/a9/ec2fa942-88e2-078b-e595-9cb02f2a442e/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/150x150bb.png,https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/ec/2f/a9/ec2fa942-88e2-078b-e595-9cb02f2a442e/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/150x150bb.png,1487968838.0,,,True,Dentist Bling,ios,0.0,https://crazylabs.com/privacy-policy/,,Israel,,721307559.0,Crazy Labs,/ios/publisher/crazy-labs/721307559,4.0,4.5,36316.0,35996.0,4.5,2019-12-16T08:38:26Z,,,https://www.crazylabs.com/contact/,2020-02-09T00:00:00Z,https://apps.apple.com/US/app/id1487968838?l=en,"['US', 'AU', 'CA', 'CN', 'FR', 'DE', 'GB', 'IT', 'JP', 'KR', 'RU', 'DZ', 'AO', 'AR', 'AT', 'AZ', 'BB', 'BY', 'BE', 'BM', 'BR', 'BG', 'CL', 'CO', 'CR', 'HR', 'CZ', 'DK', 'DO', 'EC', 'EG', 'SV', 'FI', 'GH', 'GR', 'GT', 'HK', 'HU', 'IN', 'ID', 'IE', 'IL', 'KZ', 'KE', 'KW', 'LB', 'LT', 'LU', 'MO', 'MG', 'MY', 'MX', 'NL', 'NZ', 'NG', 'NO', 'OM', 'PK', 'PA', 'PE', 'PH', 'PL', 'PT', 'QA', 'RO', 'SA', 'SG', 'SK', 'SI', 'ZA', 'ES', 'LK', 'SE', 'CH', 'TW', 'TH', 'TN', 'TR', 'UA', 'AE', 'UY', 'UZ', 'VE', 'VN']",0.1.2,https://www.crazylabs.com/
